our,theirs,rho,alpha,auc
OURS_BLEND,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9944592723427028,0.5,0.9461711871814129
OURS_BLEND,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9944592723427028,0.6,0.9462375055605072
OURS_BLEND,xgboost_exact_value_bayesian_te_smoothing_ultralow_gpu::oof_prediction,0.9944592723427028,0.7,0.9462842735593149
lgbm_ref,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9968793088104707,0.5,0.9463231573100636
lgbm_ref,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9968793088104707,0.6,0.946337838111547
lgbm_ref,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9968793088104707,0.7,0.9463402835217996
xgb_ref,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9963658781413006,0.5,0.946327912999827
xgb_ref,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9963658781413006,0.6,0.9463431816409847
xgb_ref,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9963658781413006,0.7,0.9463457956504615
cat_ref,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9902144511974228,0.5,0.9462888813640051
cat_ref,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9902144511974228,0.6,0.9462895446435312
cat_ref,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9902144511974228,0.7,0.946275034148056
lr,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9894120875815928,0.5,0.9460446037110193
lr,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9894120875815928,0.6,0.9459421451355566
lr,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.9894120875815928,0.7,0.9457999574702762
OURS_BLEND,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.997060466244496,0.5,0.94633229843384
OURS_BLEND,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.997060466244496,0.6,0.9463512079865677
OURS_BLEND,xgboost_fine_income_maxbin8192_gpu::oof_prediction,0.997060466244496,0.7,0.9463586384162849
lgbm_ref,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9964605077625956,0.5,0.9462247162480544
lgbm_ref,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9964605077625956,0.6,0.9462636601319057
lgbm_ref,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9964605077625956,0.7,0.9462881391302043
xgb_ref,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9959294977143262,0.5,0.9462356847168167
xgb_ref,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9959294977143262,0.6,0.9462748783341955
xgb_ref,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9959294977143262,0.7,0.9462987055194532
cat_ref,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9901768720550849,0.5,0.9461768801748691
cat_ref,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9901768720550849,0.6,0.9462023985580583
cat_ref,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9901768720550849,0.7,0.9462110924113367
lr,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9904564303566925,0.5,0.9458496412845158
lr,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9904564303566925,0.6,0.9457736994522528
lr,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9904564303566925,0.7,0.9456632619565273
OURS_BLEND,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9967645447277778,0.5,0.9462304151842222
OURS_BLEND,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9967645447277778,0.6,0.9462736580457202
OURS_BLEND,xgboost_fine_income_maxbin8192_singleton_gpu::oof_prediction,0.9967645447277778,0.7,0.9463033613856285
lgbm_ref,xgboost_fine_income_te_gpu::oof_prediction,0.9968729289759369,0.5,0.9463263605168837
lgbm_ref,xgboost_fine_income_te_gpu::oof_prediction,0.9968729289759369,0.6,0.9463407780159068
lgbm_ref,xgboost_fine_income_te_gpu::oof_prediction,0.9968729289759369,0.7,0.9463427638435425
xgb_ref,xgboost_fine_income_te_gpu::oof_prediction,0.9964140513856815,0.5,0.9463292803122254
xgb_ref,xgboost_fine_income_te_gpu::oof_prediction,0.9964140513856815,0.6,0.9463444367633693
xgb_ref,xgboost_fine_income_te_gpu::oof_prediction,0.9964140513856815,0.7,0.9463466949549364
cat_ref,xgboost_fine_income_te_gpu::oof_prediction,0.9902625731529626,0.5,0.9462886616776336
cat_ref,xgboost_fine_income_te_gpu::oof_prediction,0.9902625731529626,0.6,0.9462890594126059
cat_ref,xgboost_fine_income_te_gpu::oof_prediction,0.9902625731529626,0.7,0.9462744011561874
lr,xgboost_fine_income_te_gpu::oof_prediction,0.9896164387483617,0.5,0.9460472241131777
